143,0
147,0.0125
150,-0.025
151,0
151,0.0125
143,-0.05
113,-0.025
90.1,-0.0125
62.3,-0.05
28.4,-0.0125
-6.13,-0.0375
-31.6,-0.025
-59.5,0
-90.4,0.025
-113,-0.025
-126,-0.025
-135,-0.0125
-143,-0.05
-146,-0.025
-150,0
-151,-0.05
-151,-0.025
-134,-0.0375
-103,-0.025
-81.2,-0.0125
-50.4,-0.025
-18.1,-0.025
17.3,-0.0125
40.5,-0.0125
70.7,-0.025
99.2,-0.05
118,-0.0125
130,-0.0125
139,-0.025
145,-0.0125
148,-0.0125
150,-0.025
151,-0.0125
149,-0.0375
124,-0.0625
97.7,-0.025
73.7,-0.0125
40.7,0
8.33,-0.0125
-24.1,-0.05
-48,-0.025
-79.8,-0.025
-105,-0.0375
-122,-0.0375
-132,-0.025
-140,-0.0375
-145,-0.0375
-148,-0.05
-151,-0.025
-151,-0.0125
-144,-0.0125
-114,-0.05
-89.8,-0.025
-62.8,-0.025
-29.2,-0.05
4.65,-0.0375
31.4,-0.0375
58.5,-0.025
89.4,-0.0125
112,0
126,-0.05
135,-0.05
144,-0.025
147,0
149,-0.025
150,-0.0375
151,-0.025
136,-0.0375
106,-0.0375
84.2,-0.0375
53.6,0
20.3,-0.025
-14.7,-0.025
-37.8,-0.0125
-67.8,-0.025
-97.2,-0.0125
-117,0
-129,-0.025
-137,-0.0125
-143,-0.0125
-147,0.025
-150,-0.0125
-151,-0.025
-149,-0.0375
-125,0
-97.2,-0.0375
-74.1,0.025
-41.8,-0.025
-9.63,0
23.7,0
47.5,0
78.6,-0.025
104,-0.0375
121,-0.025
133,-0.025
142,-0.025
146,0.0125
148,-0.025
150,0.0125
152,0
147,0.0125
117,-0.0125
92.7,-0.0375
65.8,-0.025
31.9,-0.025
-1.88,-0.025
-29.1,-0.05
-56,-0.0375
-87.1,-0.0375
-111,-0.025
-125,-0.025
-133,-0.0125
-142,0
-147,-0.0125
-149,-0.025
-151,-0.0375
-150,-0.05
-136,-0.05
-106,-0.0125
-84.3,-0.05
-54.6,-0.0125
-21.4,-0.025
13.5,-0.0125
37.5,-0.0375
66.4,-0.025
96.1,-0.0125
117,-0.0375
129,-0.025
138,-0.0125
145,-0.025
147,0.0125
150,-0.0125
152,-0.05
151,-0.05
129,0
100,-0.0375
77.1,-0.0375
44.5,-0.025
12.2,-0.0375
-21.4,-0.0125
-45,-0.0375
-76.2,-0.0375
-103,-0.025
-120,-0.0125
-131,-0.0125
-141,-0.0375
-145,-0.0125
-149,0
-151,-0.0125
-151,-0.025
-147,-0.0625
-117,-0.025
-92.6,0.025
-66.7,-0.0375
-32.9,0.025
-0.1,-0.0375
29.2,0
55.1,-0.05
86.4,-0.025
111,-0.0375
125,-0.0375
134,-0.05
143,-0.0125
148,-0.025
150,0
152,-0.05
152,0.025
140,-0.0375
109,-0.0375
87,-0.05
57.3,-0.025
23.5,-0.0125
-10.8,-0.025
-35.4,0
-64.1,-0.025
-94.4,-0.025
-116,-0.025
-128,-0.0375
-136,0
-144,-0.025
-148,-0.025
-150,-0.0125
-151,-0.0625
-150,-0.0375
-129,-0.0375
-100,-0.0125
-77.7,-0.05
-45.8,-0.0375
-13.6,-0.0125
21.1,-0.0125
44.5,-0.0375
75.1,-0.0375
103,-0.025
121,0.025
132,-0.0375
142,-0.0125
146,-0.025
149,-0.025
151,-0.05
153,-0.0375
149,-0.0375
121,-0.0375
94.9,-0.0125
69.3,0.0125
35.6,-0.025
2.85,0.0125
-27.4,-0.0125
-52.8,-0.05
-84.3,-0.025
-109,-0.025
-124,0.0125
-133,-0.0125
-143,0
-147,0.0125
-150,-0.025
-151,-0.025
-151,-0.0125
-140,-0.0125
-109,-0.0125
-87.3,-0.0125
-58.3,-0.0375
-25,0
9.73,0.025
35.1,-0.0375
62.9,-0.0125
93.6,-0.05
115,-0.0125
129,0.0125
137,-0.05
144,-0.025
148,-0.0125
150,-0.025
152,-0.0375
151,-0.0375
132,0.0125
103,-0.0125
80.3,0
47.8,0
15.8,-0.05
-18.7,-0.025
-41.5,0.0125
-72.9,-0.0375
-101,0.0125
-118,-0.0125
-130,0
-139,-0.0625
-145,-0.0125
-148,-0.05
-150,-0.025
-151,0.0125
-148,-0.025
-121,-0.025
-95.2,0
-70.3,-0.0625
-37,-0.0375
-4.48,-0.025
26.7,-0.05
51.5,0.0125
83.3,-0.025
109,0
124,-0.0125
134,0
142,-0.025
146,-0.0375
149,-0.0375
152,-0.025
152,0.0125
143,0.0125
113,-0.0125
89.4,-0.025
60.4,-0.0375
27.4,-0.05
-7.25,-0.0375
-32.5,0.0125
-60.7,0.025
-91.4,-0.0375
-113,-0.0375
-126,0
-135,-0.0375
-144,0
-147,-0.0375
-149,-0.0375
-151,-0.0375
-149,-0.0125
-133,0
-103,-0.0125
-81.1,0
-49.4,-0.05
-17,-0.0375
18.2,0
40.9,-0.0125
71.6,-0.025
100,-0.0375
119,-0.025
131,-0.0375
139,-0.0125
144,-0.0125
148,-0.0375
151,0
152,0
150,0.0125
124,0.0125
96.8,0
71.8,-0.05
39.2,0.025
6.95,-0.025
-25.1,0
-48.6,0
-80.8,-0.0125
-105,-0.05
-121,-0.025
-132,0
-141,-0.025
-145,-0.05
-148,0.0125
-150,0.0125
-150,-0.05
-143,-0.05
-113,-0.0125
-90.1,-0.0125
-62.4,-0.0375
-28.7,-0.05
5.93,0
32,-0.025
59.1,-0.025
90.4,-0.0125
113,-0.0375
127,-0.025
135,-0.0125
142,-0.05
147,-0.025
150,0.0125
152,-0.0375
151,-0.0375
135,-0.0375
105,-0.0375
82.4,-0.0125
51.4,-0.0375
19.3,0.0125
-15.9,-0.0125
-38.7,-0.025
-69.1,-0.0125
-97.9,-0.025
-117,0
-130,0.0125
-138,-0.025
-144,-0.025
-147,0
-149,-0.0375
-150,-0.025
-149,-0.0125
-125,-0.025
-97.8,-0.025
-73.3,-0.05
-40.5,-0.0375
-8.25,0.0125
24.1,-0.05
48,0.0125
79.9,0
106,-0.025
122,-0.025
132,0
141,0.0125
146,-0.0375
149,0
152,-0.0375
152,-0.0375
145,-0.0125
115,-0.025
91,0.0125
64.4,-0.025
31.3,-0.0125
-3.18,-0.025
-30.2,-0.0125
-57.1,-0.0125
-88.2,-0.0125
-112,-0.0125
-125,0
-135,-0.0125
-143,0.05
-146,0.0125
-149,-0.025
-150,0
-151,0
-137,-0.0125
-106,-0.0125
-83.8,-0.0625
-53.3,0
-20.5,-0.05
14.5,-0.0125
38.3,-0.025
68.3,-0.0125
97.5,0
118,-0.0125
130,0.0125
138,0
145,-0.025
149,0
151,-0.0375
152,0
151,-0.025
127,-0.0625
98.7,-0.0125
75.9,-0.05
43.2,-0.0125
11.1,-0.025
-22.5,0
-45.7,0
-77.4,-0.0125
-104,-0.0125
-121,-0.025
-132,-0.0375
-141,-0.0375
-146,-0.025
-148,0
-150,-0.025
-152,0.0125
-146,-0.05
-117,0.025
-92.6,-0.0125
-65.7,-0.0125
-32.2,-0.0125
1.28,-0.0125
29.8,-0.0125
56.2,0.025
87.5,-0.05
112,0.0125
126,-0.0125
135,-0.025
144,-0.0375
148,-0.0125
151,0
152,-0.025
152,0
138,0.0125
108,-0.0125
85.8,0.0125
55.9,0.0125
22.6,-0.05
-12.1,-0.025
-36.4,0.025
-65.3,-0.0125
-95,-0.0125
-116,-0.0125
-128,-0.0125
-137,-0.025
-144,-0.05
